Episode:   0, Step: 99, Total Reward:-60
Episode:   1, Step: 99, Total Reward:-60
Episode:   2, Step: 99, Total Reward:-60
Episode:   3, Step: 99, Total Reward:-55
Episode:   4, Step: 99, Total Reward:-63
Episode:   5, Step: 99, Total Reward:-52
Episode:   6, Step: 99, Total Reward:-50
Episode:   7, Step: 99, Total Reward:-47
Episode:   8, Step: 99, Total Reward:-58
Episode:   9, Step: 99, Total Reward:-53
Episode:  10, Step: 99, Total Reward:-55
Episode:  11, Step: 99, Total Reward:-51
Episode:  12, Step: 99, Total Reward:-51
Episode:  13, Step: 99, Total Reward:-58
Episode:  14, Step: 99, Total Reward:-59
Episode:  15, Step: 99, Total Reward:-58
Episode:  16, Step: 99, Total Reward:-51
Episode:  17, Step: 99, Total Reward:-52
Episode:  18, Step: 99, Total Reward:-64
Episode:  19, Step: 99, Total Reward:-53
Episode:  20, Step: 99, Total Reward:-56
Episode:  21, Step: 99, Total Reward:-55
Episode:  22, Step: 99, Total Reward:-52
Episode:  23, Step: 99, Total Reward:-59
Episode:  24, Step: 99, Total Reward:-51
Episode:  25, Step: 99, Total Reward:-60
Episode:  26, Step: 99, Total Reward:-47
Episode:  27, Step: 99, Total Reward:-58
Episode:  28, Step: 99, Total Reward:-54
Episode:  29, Step: 99, Total Reward:-55
Episode:  30, Step: 99, Total Reward:-56
Episode:  31, Step: 99, Total Reward:-50
Episode:  32, Step: 99, Total Reward:-59
Episode:  33, Step: 99, Total Reward:-47
Episode:  34, Step: 99, Total Reward:-47
Episode:  35, Step: 99, Total Reward:-51
Episode:  36, Step: 99, Total Reward:-49
Episode:  37, Step: 99, Total Reward:-47
Episode:  38, Step: 99, Total Reward:-50
Episode:  39, Step: 99, Total Reward:-50
Episode:  40, Step: 99, Total Reward:-51
Episode:  41, Step: 99, Total Reward:-50
Episode:  42, Step: 99, Total Reward:-53
Episode:  43, Step: 99, Total Reward:-42
Episode:  44, Step: 99, Total Reward:-59
Episode:  45, Step: 99, Total Reward:-49
Episode:  46, Step: 99, Total Reward:-51
Episode:  47, Step: 99, Total Reward:-61
Episode:  48, Step: 99, Total Reward:-51
Episode:  49, Step: 99, Total Reward:-60
Episode:  50, Step: 99, Total Reward:-60
Episode:  51, Step: 99, Total Reward:-55
Episode:  52, Step: 99, Total Reward:-48
Episode:  53, Step: 99, Total Reward:-51
Episode:  54, Step: 99, Total Reward:-44
Episode:  55, Step: 99, Total Reward:-52
Episode:  56, Step: 99, Total Reward:-51
Episode:  57, Step: 99, Total Reward:-53
Episode:  58, Step: 99, Total Reward:-55
Episode:  59, Step: 99, Total Reward:-49
Episode:  60, Step: 99, Total Reward:-54
Episode:  61, Step: 99, Total Reward:-48
Episode:  62, Step: 99, Total Reward:-39
Episode:  63, Step: 99, Total Reward:-47
Episode:  64, Step: 99, Total Reward:-52
Episode:  65, Step: 99, Total Reward:-53
Episode:  66, Step: 99, Total Reward:-51
Episode:  67, Step: 99, Total Reward:-55
Episode:  68, Step: 99, Total Reward:-49
Episode:  69, Step: 99, Total Reward:-51
Episode:  70, Step: 99, Total Reward:-50
Episode:  71, Step: 99, Total Reward:-55
Episode:  72, Step: 99, Total Reward:-52
Episode:  73, Step: 99, Total Reward:-43
Episode:  74, Step: 99, Total Reward:-55
Episode:  75, Step: 99, Total Reward:-54
Episode:  76, Step: 99, Total Reward:-54
Episode:  77, Step: 99, Total Reward:-50
Episode:  78, Step: 99, Total Reward:-45
Episode:  79, Step: 99, Total Reward:-48
Episode:  80, Step: 99, Total Reward:-56
Episode:  81, Step: 99, Total Reward:-50
Episode:  82, Step: 99, Total Reward:-53
Episode:  83, Step: 99, Total Reward:-45
Episode:  84, Step: 99, Total Reward:-55
Episode:  85, Step: 99, Total Reward:-55
Episode:  86, Step: 99, Total Reward:-55
Episode:  87, Step: 99, Total Reward:-48
Episode:  88, Step: 99, Total Reward:-49
Episode:  89, Step: 99, Total Reward:-52
Episode:  90, Step: 99, Total Reward:-58
Episode:  91, Step: 99, Total Reward:-56
Episode:  92, Step: 99, Total Reward:-49
Episode:  93, Step: 99, Total Reward:-53
Episode:  94, Step: 99, Total Reward:-50
Episode:  95, Step: 99, Total Reward:-52
Episode:  96, Step: 99, Total Reward:-51
Episode:  97, Step: 99, Total Reward:-43
Episode:  98, Step: 99, Total Reward:-51
Episode:  99, Step: 99, Total Reward:-55
Episode: 100, Step: 99, Total Reward:-47
Episode: 101, Step: 99, Total Reward:-46
Episode: 102, Step: 99, Total Reward:-51
Episode: 103, Step: 99, Total Reward:-50
Episode: 104, Step: 99, Total Reward:-51
Episode: 105, Step: 99, Total Reward:-39
Episode: 106, Step: 99, Total Reward:-55
Episode: 107, Step: 99, Total Reward:-37
Episode: 108, Step: 99, Total Reward:-42
Episode: 109, Step: 99, Total Reward:-50
Episode: 110, Step: 99, Total Reward:-50
Episode: 111, Step: 99, Total Reward:-46
Episode: 112, Step: 99, Total Reward:-46
Episode: 113, Step: 99, Total Reward:-39
Episode: 114, Step: 99, Total Reward:-51
Episode: 115, Step: 99, Total Reward:-51
Episode: 116, Step: 99, Total Reward:-50
Episode: 117, Step: 99, Total Reward:-51
Episode: 118, Step: 99, Total Reward:-48
Episode: 119, Step: 99, Total Reward:-55
Episode: 120, Step: 99, Total Reward:-51
Episode: 121, Step: 99, Total Reward:-48
Episode: 122, Step: 99, Total Reward:-48
Episode: 123, Step: 99, Total Reward:-66
Episode: 124, Step: 99, Total Reward:-45
Episode: 125, Step: 99, Total Reward:-46
Episode: 126, Step: 99, Total Reward:-49
Episode: 127, Step: 99, Total Reward:-48
Episode: 128, Step: 99, Total Reward:-50
Episode: 129, Step: 99, Total Reward:-44
Episode: 130, Step: 99, Total Reward:-54
Episode: 131, Step: 99, Total Reward:-48
Episode: 132, Step: 99, Total Reward:-48
Episode: 133, Step: 99, Total Reward:-48
Episode: 134, Step: 99, Total Reward:-57
Episode: 135, Step: 99, Total Reward:-43
Episode: 136, Step: 99, Total Reward:-53
Episode: 137, Step: 99, Total Reward:-51
Episode: 138, Step: 99, Total Reward:-43
Episode: 139, Step: 99, Total Reward:-54
Episode: 140, Step: 99, Total Reward:-46
Episode: 141, Step: 99, Total Reward:-49
Episode: 142, Step: 99, Total Reward:-52
Episode: 143, Step: 99, Total Reward:-41
Episode: 144, Step: 99, Total Reward:-51
Episode: 145, Step: 99, Total Reward:-47
Episode: 146, Step: 99, Total Reward:-57
Episode: 147, Step: 99, Total Reward:-48
Episode: 148, Step: 99, Total Reward:-49
Episode: 149, Step: 99, Total Reward:-54
Episode: 150, Step: 99, Total Reward:-42
Episode: 151, Step: 99, Total Reward:-48
Episode: 152, Step: 99, Total Reward:-38
Episode: 153, Step: 99, Total Reward:-44
Episode: 154, Step: 99, Total Reward:-49
Episode: 155, Step: 99, Total Reward:-46
Episode: 156, Step: 99, Total Reward:-45
Episode: 157, Step: 99, Total Reward:-51
Episode: 158, Step: 99, Total Reward:-56
Episode: 159, Step: 99, Total Reward:-51
Episode: 160, Step: 99, Total Reward:-41
Episode: 161, Step: 99, Total Reward:-55
Episode: 162, Step: 99, Total Reward:-48
Episode: 163, Step: 99, Total Reward:-42
Episode: 164, Step: 99, Total Reward:-42
Episode: 165, Step: 99, Total Reward:-44
Episode: 166, Step: 99, Total Reward:-51
Episode: 167, Step: 99, Total Reward:-49
Episode: 168, Step: 99, Total Reward:-41
Episode: 169, Step: 99, Total Reward:-46
Episode: 170, Step: 99, Total Reward:-47
Episode: 171, Step: 99, Total Reward:-46
Episode: 172, Step: 99, Total Reward:-53
Episode: 173, Step: 99, Total Reward:-44
Episode: 174, Step: 99, Total Reward:-56
Episode: 175, Step: 99, Total Reward:-44
Episode: 176, Step: 99, Total Reward:-48
Episode: 177, Step: 99, Total Reward:-38
Episode: 178, Step: 99, Total Reward:-49
Episode: 179, Step: 99, Total Reward:-43
Episode: 180, Step: 99, Total Reward:-47
Episode: 181, Step: 99, Total Reward:-43
Episode: 182, Step: 99, Total Reward:-40
Episode: 183, Step: 99, Total Reward:-46
Episode: 184, Step: 99, Total Reward:-45
Episode: 185, Step: 99, Total Reward:-47
Episode: 186, Step: 99, Total Reward:-49
Episode: 187, Step: 99, Total Reward:-49
Episode: 188, Step: 99, Total Reward:-50
Episode: 189, Step: 99, Total Reward:-45
Episode: 190, Step: 99, Total Reward:-51
Episode: 191, Step: 99, Total Reward:-43
Episode: 192, Step: 99, Total Reward:-48
Episode: 193, Step: 99, Total Reward:-51
Episode: 194, Step: 99, Total Reward:-47
Episode: 195, Step: 99, Total Reward:-47
Episode: 196, Step: 99, Total Reward:-48
Episode: 197, Step: 99, Total Reward:-43
Episode: 198, Step: 99, Total Reward:-47
Episode: 199, Step: 99, Total Reward:-41
Episode: 200, Step: 99, Total Reward:-46
Episode: 201, Step: 99, Total Reward:-49
Episode: 202, Step: 99, Total Reward:-43
Episode: 203, Step: 99, Total Reward:-45
Episode: 204, Step: 99, Total Reward:-47
Episode: 205, Step: 99, Total Reward:-49
Episode: 206, Step: 99, Total Reward:-48
Episode: 207, Step: 99, Total Reward:-45
Episode: 208, Step: 99, Total Reward:-47
Episode: 209, Step: 99, Total Reward:-40
Episode: 210, Step: 99, Total Reward:-44
Episode: 211, Step: 99, Total Reward:-41
Episode: 212, Step: 99, Total Reward:-49
Episode: 213, Step: 99, Total Reward:-43
Episode: 214, Step: 99, Total Reward:-43
Episode: 215, Step: 99, Total Reward:-65
Episode: 216, Step: 99, Total Reward:-51
Episode: 217, Step: 99, Total Reward:-45
Episode: 218, Step: 99, Total Reward:-42
Episode: 219, Step: 99, Total Reward:-43
Episode: 220, Step: 99, Total Reward:-43
Episode: 221, Step: 99, Total Reward:-35
Episode: 222, Step: 99, Total Reward:-42
Episode: 223, Step: 99, Total Reward:-51
Episode: 224, Step: 99, Total Reward:-39
Episode: 225, Step: 99, Total Reward:-50
Episode: 226, Step: 99, Total Reward:-45
Episode: 227, Step: 99, Total Reward:-41
Episode: 228, Step: 99, Total Reward:-44
Episode: 229, Step: 99, Total Reward:-42
Episode: 230, Step: 99, Total Reward:-54
Episode: 231, Step: 99, Total Reward:-47
Episode: 232, Step: 99, Total Reward:-42
Episode: 233, Step: 99, Total Reward:-40
Episode: 234, Step: 99, Total Reward:-40
Episode: 235, Step: 99, Total Reward:-48
Episode: 236, Step: 99, Total Reward:-45
Episode: 237, Step: 99, Total Reward:-41
Episode: 238, Step: 99, Total Reward:-45
Episode: 239, Step: 99, Total Reward:-45
Episode: 240, Step: 99, Total Reward:-42
Episode: 241, Step: 99, Total Reward:-45
Episode: 242, Step: 99, Total Reward:-42
Episode: 243, Step: 99, Total Reward:-47
Episode: 244, Step: 99, Total Reward:-53
Episode: 245, Step: 99, Total Reward:-46
Episode: 246, Step: 99, Total Reward:-44
Episode: 247, Step: 99, Total Reward:-45
Episode: 248, Step: 99, Total Reward:-44
Episode: 249, Step: 99, Total Reward:-48
Episode: 250, Step: 99, Total Reward:-43
Episode: 251, Step: 99, Total Reward:-45
Episode: 252, Step: 99, Total Reward:-52
Episode: 253, Step: 99, Total Reward:-39
Episode: 254, Step: 99, Total Reward:-40
Episode: 255, Step: 99, Total Reward:-42
Episode: 256, Step: 99, Total Reward:-42
Episode: 257, Step: 99, Total Reward:-44
Episode: 258, Step: 99, Total Reward:-43
Episode: 259, Step: 99, Total Reward:-38
Episode: 260, Step: 99, Total Reward:-42
Episode: 261, Step: 99, Total Reward:-42
Episode: 262, Step: 99, Total Reward:-46
Episode: 263, Step: 99, Total Reward:-46
Episode: 264, Step: 99, Total Reward:-43
Episode: 265, Step: 99, Total Reward:-41
Episode: 266, Step: 99, Total Reward:-39
Episode: 267, Step: 99, Total Reward:-45
Episode: 268, Step: 99, Total Reward:-43
Episode: 269, Step: 99, Total Reward:-47
Episode: 270, Step: 99, Total Reward:-38
Episode: 271, Step: 99, Total Reward:-43
Episode: 272, Step: 99, Total Reward:-39
Episode: 273, Step: 99, Total Reward:-44
Episode: 274, Step: 99, Total Reward:-44
Episode: 275, Step: 99, Total Reward:-43
Episode: 276, Step: 99, Total Reward:-42
Episode: 277, Step: 99, Total Reward:-44
Episode: 278, Step: 99, Total Reward:-43
Episode: 279, Step: 99, Total Reward:-45
Episode: 280, Step: 99, Total Reward:-42
Episode: 281, Step: 99, Total Reward:-46
Episode: 282, Step: 99, Total Reward:-38
Episode: 283, Step: 99, Total Reward:-51
Episode: 284, Step: 99, Total Reward:-42
Episode: 285, Step: 99, Total Reward:-48
Episode: 286, Step: 99, Total Reward:-37
Episode: 287, Step: 99, Total Reward:-49
Episode: 288, Step: 99, Total Reward:-35
Episode: 289, Step: 99, Total Reward:-47
Episode: 290, Step: 99, Total Reward:-43
Episode: 291, Step: 99, Total Reward:-43
Episode: 292, Step: 99, Total Reward:-36
Episode: 293, Step: 99, Total Reward:-45
Episode: 294, Step: 99, Total Reward:-40
Episode: 295, Step: 99, Total Reward:-41
Episode: 296, Step: 99, Total Reward:-40
Episode: 297, Step: 99, Total Reward:-37
Episode: 298, Step: 99, Total Reward:-42
Episode: 299, Step: 99, Total Reward:-42
Episode: 300, Step: 99, Total Reward:-36
Episode: 301, Step: 99, Total Reward:-43
