Episode: 145, Step: 99, Total Reward:-35
Episode: 146, Step: 86, Total Reward: 66
Episode: 147, Step: 99, Total Reward:-52
Episode: 148, Step: 79, Total Reward: 71
Episode: 149, Step: 78, Total Reward: 69
Episode: 150, Step: 99, Total Reward: 66
Episode: 151, Step: 91, Total Reward: 59
Episode: 152, Step: 99, Total Reward:-41
Episode: 153, Step: 81, Total Reward: 77
Episode: 154, Step: 99, Total Reward:-42
Episode: 155, Step: 99, Total Reward:-43
Episode: 156, Step: 75, Total Reward: 70
Episode: 157, Step: 99, Total Reward:-40
Episode: 158, Step: 99, Total Reward:-40
Episode: 159, Step: 99, Total Reward:-37
Episode: 160, Step: 99, Total Reward:-41
Episode: 161, Step: 99, Total Reward:-43
Episode: 162, Step: 99, Total Reward:-37
Episode: 163, Step: 99, Total Reward:-47
Episode: 164, Step: 99, Total Reward:-46
Episode: 165, Step: 99, Total Reward:-40
Episode: 166, Step: 98, Total Reward: 63
Episode: 167, Step: 99, Total Reward:-40
Episode: 168, Step: 99, Total Reward:-39
Episode: 169, Step: 93, Total Reward: 68
Episode: 170, Step: 99, Total Reward:-49
Episode: 171, Step: 99, Total Reward:-35
Episode: 172, Step: 99, Total Reward:-35
Episode: 173, Step: 80, Total Reward: 69
Episode: 174, Step: 99, Total Reward:-34
Episode: 175, Step: 99, Total Reward:-33
Episode: 176, Step: 99, Total Reward:-44
Episode: 177, Step: 99, Total Reward:-33
Episode: 178, Step: 99, Total Reward:-38
Episode: 179, Step: 63, Total Reward: 78
Episode: 180, Step: 99, Total Reward:-44
Episode: 181, Step: 99, Total Reward:-48
Episode: 182, Step: 99, Total Reward:-33
Episode: 183, Step: 99, Total Reward:-42
Episode: 184, Step: 69, Total Reward: 76
Episode: 185, Step: 96, Total Reward: 67
Episode: 186, Step: 99, Total Reward:-33
Episode: 187, Step: 99, Total Reward:-36
Episode: 188, Step: 99, Total Reward:-48
Episode: 189, Step: 91, Total Reward: 70
Episode: 190, Step: 99, Total Reward:-36
Episode: 191, Step: 99, Total Reward:-40
Episode: 192, Step: 99, Total Reward:-39
Episode: 193, Step: 96, Total Reward: 62
Episode: 194, Step: 99, Total Reward:-49
Episode: 195, Step: 99, Total Reward:-30
Episode: 196, Step: 99, Total Reward:-39
Episode: 197, Step: 99, Total Reward: 66
Episode: 198, Step: 99, Total Reward:-35
Episode: 199, Step: 99, Total Reward:-37
