Episode:   0, Step: 99, Total Reward:-29
Episode:   1, Step: 99, Total Reward:-18
Episode:   2, Step: 99, Total Reward:-25
Episode:   3, Step: 99, Total Reward:-29
Episode:   4, Step: 99, Total Reward:-22
Episode:   5, Step: 99, Total Reward:-38
Episode:   6, Step: 99, Total Reward:-20
Episode:   7, Step: 99, Total Reward:-27
Episode:   8, Step: 99, Total Reward:-24
Episode:   9, Step: 99, Total Reward:-32
Episode:  10, Step: 99, Total Reward:-24
Episode:  11, Step: 99, Total Reward:-26
Episode:  12, Step: 99, Total Reward:-25
Episode:  13, Step: 99, Total Reward:-23
Episode:  14, Step: 99, Total Reward:-24
Episode:  15, Step: 99, Total Reward:-24
Episode:  16, Step: 99, Total Reward:-30
Episode:  17, Step: 99, Total Reward:-34
Episode:  18, Step: 99, Total Reward:-28
Episode:  19, Step: 99, Total Reward:-32
Episode:  20, Step: 99, Total Reward:-20
Episode:  21, Step: 99, Total Reward:-21
Episode:  22, Step: 99, Total Reward:-19
Episode:  23, Step: 99, Total Reward:-30
Episode:  24, Step: 99, Total Reward:-34
Episode:  25, Step: 99, Total Reward:-22
Episode:  26, Step: 99, Total Reward:-24
Episode:  27, Step: 99, Total Reward:-29
Episode:  28, Step: 99, Total Reward:-29
Episode:  29, Step: 99, Total Reward:-24
Episode:  30, Step: 99, Total Reward:-21
Episode:  31, Step: 99, Total Reward:-31
Episode:  32, Step: 99, Total Reward:-23
Episode:  33, Step: 99, Total Reward:-31
Episode:  34, Step: 99, Total Reward:-17
Episode:  35, Step: 99, Total Reward:-17
Episode:  36, Step: 99, Total Reward:-26
Episode:  37, Step: 99, Total Reward:-22
Episode:  38, Step: 99, Total Reward:-24
Episode:  39, Step: 99, Total Reward:-24
Episode:  40, Step: 99, Total Reward:-34
Episode:  41, Step: 99, Total Reward:-26
Episode:  42, Step: 99, Total Reward:-22
Episode:  43, Step: 99, Total Reward:-24
Episode:  44, Step: 99, Total Reward:-19
Episode:  45, Step: 99, Total Reward:-24
Episode:  46, Step: 99, Total Reward:-28
Episode:  47, Step: 99, Total Reward:-24
Episode:  48, Step: 99, Total Reward:-21
Episode:  49, Step: 99, Total Reward:-25
Episode:  50, Step: 99, Total Reward:-29
Episode:  51, Step: 99, Total Reward:-22
Episode:  52, Step: 99, Total Reward:-21
Episode:  53, Step: 99, Total Reward:-25
Episode:  54, Step: 99, Total Reward:-25
Episode:  55, Step: 99, Total Reward:-20
Episode:  56, Step: 99, Total Reward:-25
Episode:  57, Step: 99, Total Reward:-22
Episode:  58, Step: 99, Total Reward:-22
Episode:  59, Step: 99, Total Reward:-28
Episode:  60, Step: 99, Total Reward:-19
Episode:  61, Step: 99, Total Reward:-24
Episode:  62, Step: 99, Total Reward:-24
Episode:  63, Step: 99, Total Reward:-26
Episode:  64, Step: 99, Total Reward:-16
Episode:  65, Step: 99, Total Reward:-32
Episode:  66, Step: 99, Total Reward:-22
Episode:  67, Step: 99, Total Reward:-19
Episode:  68, Step: 99, Total Reward:-23
Episode:  69, Step: 99, Total Reward:-24
Episode:  70, Step: 99, Total Reward:-25
Episode:  71, Step: 99, Total Reward:-30
Episode:  72, Step: 99, Total Reward:-27
Episode:  73, Step: 99, Total Reward:-13
Episode:  74, Step: 99, Total Reward:-24
Episode:  75, Step: 99, Total Reward:-18
Episode:  76, Step: 99, Total Reward:-24
Episode:  77, Step: 99, Total Reward:-22
Episode:  78, Step: 99, Total Reward:-17
Episode:  79, Step: 99, Total Reward:-24
Episode:  80, Step: 99, Total Reward:-28
Episode:  81, Step: 99, Total Reward:-16
Episode:  82, Step: 99, Total Reward:-21
Episode:  83, Step: 99, Total Reward:-19
Episode:  84, Step: 99, Total Reward:-20
Episode:  85, Step: 99, Total Reward:-21
Episode:  86, Step: 99, Total Reward:-23
Episode:  87, Step: 99, Total Reward:-18
Episode:  88, Step: 99, Total Reward:-19
Episode:  89, Step: 99, Total Reward:-23
Episode:  90, Step: 99, Total Reward:-23
Episode:  91, Step: 99, Total Reward:-34
Episode:  92, Step: 99, Total Reward:-24
Episode:  93, Step: 99, Total Reward:-25
Episode:  94, Step: 99, Total Reward:-17
Episode:  95, Step: 99, Total Reward:-21
Episode:  96, Step: 99, Total Reward:-24
Episode:  97, Step: 99, Total Reward:-20
Episode:  98, Step: 99, Total Reward:-15
Episode:  99, Step: 99, Total Reward:-20
Episode: 100, Step: 99, Total Reward:-16
Episode: 101, Step: 99, Total Reward:-25
Episode: 102, Step: 99, Total Reward:-21
Episode: 103, Step: 99, Total Reward:-23
Episode: 104, Step: 99, Total Reward:-19
Episode: 105, Step: 99, Total Reward:-18
Episode: 106, Step: 99, Total Reward:-24
Episode: 107, Step: 99, Total Reward:-22
Episode: 108, Step: 99, Total Reward:-22
Episode: 109, Step: 99, Total Reward:-25
Episode: 110, Step: 99, Total Reward:-24
Episode: 111, Step: 99, Total Reward:-24
Episode: 112, Step: 99, Total Reward:-23
Episode: 113, Step: 99, Total Reward:-25
Episode: 114, Step: 99, Total Reward:-30
Episode: 115, Step: 99, Total Reward:-27
Episode: 116, Step: 99, Total Reward:-24
Episode: 117, Step: 99, Total Reward:-17
Episode: 118, Step: 99, Total Reward:-26
Episode: 119, Step: 99, Total Reward:-19
Episode: 120, Step: 99, Total Reward:-24
Episode: 121, Step: 99, Total Reward:-16
Episode: 122, Step: 99, Total Reward:-14
Episode: 123, Step: 99, Total Reward:-22
Episode: 124, Step: 99, Total Reward:-17
Episode: 125, Step: 99, Total Reward:-20
Episode: 126, Step: 99, Total Reward:-24
Episode: 127, Step: 99, Total Reward:-17
Episode: 128, Step: 99, Total Reward:-20
Episode: 129, Step: 99, Total Reward:-18
Episode: 130, Step: 99, Total Reward:-21
Episode: 131, Step: 99, Total Reward:-19
Episode: 132, Step: 99, Total Reward:-15
